Movie_Title,Release_Date,Wikipedia_URL,Genre_1,Genre_2,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Box_Office_Revenue
The Mermaid,2016-02-08,https://en.wikipedia.org/wiki/The_Mermaid_(2016_film),Sci-Fi,Fantasy,Stephen Chow,,Deng Chao,Lin Yun,Show Luo,Zhang Yuqi,Kris Wu,60720000,553800000
The Monuments Men,2014-02-07,https://en.wikipedia.org/wiki/The_Monuments_Men,Drama,,George Clooney,,George Clooney,Matt Damon,Bill Murray,John Goodman,Jean Dujardin,70000000,155000000
The Mortal Instruments: City of Bones,2013-08-21,https://en.wikipedia.org/wiki/The_Mortal_Instruments:_City_of_Bones,Action,Fantasy,Harald Zwart,,Lily Collins,Jamie Campbell Bower,Robert Sheehan,Jemima West,Kevin Durand,60000000,90600000
The Night Before,2015-11-20,https://en.wikipedia.org/wiki/The_Night_Before_(2015_film),Comedy,,Jonathan Levine,,Joseph Gordon-Levitt,Seth Rogen,Anthony Mackie,,,25000000,52400000
The November Man,2014-08-27,https://en.wikipedia.org/wiki/The_November_Man,Thriller,,Roger Donaldson,,Pierce Brosnan,Olga Kurylenko,Luke Bracey,Bill Smitrovich,Will Patton,15000000,34800000
The Nut Job,2014-01-11,https://en.wikipedia.org/wiki/The_Nut_Job,Family,,Peter Lepeniotis,,Will Arnett,Katherine Heigl,Liam Neeson,Brendan Fraser,Gabriel Iglesias,42800000,120900000
The Oogieloves in the Big Balloon Adventure,2012-08-29,https://en.wikipedia.org/wiki/The_Oogieloves_in_the_Big_Balloon_Adventure,Family,,Matthew Diamond,,Toni Braxton,Cloris Leachman,Christopher Lloyd,Chazz Palminteri,Cary Elwes,20000000,1100000
The Other Woman,2014-03-31,https://en.wikipedia.org/wiki/The_Other_Woman_(2014_film),Comedy,,Nick Cassavetes,,Cameron Diaz,Leslie Mann,Kate Upton,Nikolaj Coster-Waldau,Taylor Kinney,40000000,196700000
The Peanuts Movie,2015-11-01,https://en.wikipedia.org/wiki/The_Peanuts_Movie,Animation,Comedy,Steve Martino,,Bill Melendez,Noah Schnapp,Hadley Belle Miller,AJ Teece,Noah Johnston,99000000,246200000
The Perfect Guy,2015-09-02,https://en.wikipedia.org/wiki/The_Perfect_Guy_(2015_film),Thriller,,David M. Rosenthal,,Sanaa Lathan,Michael Ealy,Morris Chestnut,,,18000000,60300000
The Perfect Match,2016-03-11,https://en.wikipedia.org/wiki/The_Perfect_Match_(2016_film),Romance,,Bille Woodruff,,Terrence J,Cassie Ventura,Donald Faison,Dascha Polanco,Robert Christopher Riley,5000000,10400000
The Perks of Being a Wallflower,2012-09-21,https://en.wikipedia.org/wiki/The_Perks_of_Being_a_Wallflower_(film),Drama,,Stephen Chbosky,,Emma Watson,Logan Lerman,Mae Whitman,Nina Dobrev,Johnny Simmons,13000000,33400000
The Pirates! Band of Misfits,2012-04-27,https://en.wikipedia.org/wiki/The_Pirates!_In_an_Adventure_with_Scientists_(film),Comedy,Action,Peter Lord,Jeff Newitt,Hugh Grant,Salma Hayek,Jeremy Piven,Imelda Staunton,David Tennant,55000000,123000000
The Place Beyond the Pines,2013-03-29,https://en.wikipedia.org/wiki/The_Place_Beyond_the_Pines,Crime,Drama,Derek Cianfrance,,Ryan Gosling,Bradley Cooper,Rose Byrne,Eva Mendes,Ray Liotta,15000000,47000000
The Possession,2012-08-31,https://en.wikipedia.org/wiki/The_Possession_(2012_film),Horror,Thriller,Ole Bornedal,,Jeffrey Dean Morgan,Kyra Sedgwick,,,,14000000,78500000
The Purge,2013-05-31,https://en.wikipedia.org/wiki/The_Purge,Sci-Fi,Thriller,James DeMonaco,,Ethan Hawke,Lena Headey,Max Burkholder,Tony Oller,Edwin Hodge,3000000,89300000
The Purge: Election Year,2016-07-01,https://en.wikipedia.org/wiki/The_Purge:_Election_Year,Horror,Thriller,James DeMonaco,,Frank Grillo,Betty Gabriel,Edwin Hodge,Kyle Secor,Joseph Julian Soria,10000000,105600000
The Raid 2,2014-01-21,https://en.wikipedia.org/wiki/The_Raid_2,Action,,Gareth Evans,,Iko Uwais,Tio Pakusadewo,Arifin Putra,Julie Estelle,Alex Abbad,4500000,6600000
The Raid: Redemption ₪,2012-03-23,https://en.wikipedia.org/wiki/The_Raid:_Redemption,Action,,Gareth Evans,,Iko Uwais,Doni Alamsyah,Joe Taslim,Yayan Ruhian,Ray Sahetapy,1100000,9140000
The Raven,2012-04-27,https://en.wikipedia.org/wiki/The_Raven_(2012_film),Thriller,,James McTeigue,,John Cusack,Alice Eve,Luke Evans,Brendan Gleeson,Oliver Jackson-Cohen,26000000,29700000
The Revenant,2015-12-25,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),Thriller,,Alejandro G. Iñárritu,,Leonardo DiCaprio,Tom Hardy,Domhnall Gleeson,Will Poulter,,135000000,533000000
The Second Best Exotic Marigold Hotel,2015-02-26,https://en.wikipedia.org/wiki/The_Second_Best_Exotic_Marigold_Hotel,Comedy,Drama,John Madden,,Judi Dench,Bill Nighy,Maggie Smith,Richard Gere,Celia Imrie,10000000,86000000
The Second Mother,2015-01-25,https://en.wikipedia.org/wiki/The_Second_Mother_(2015_film),Drama,,Anna Muylaert,,Regina Casé,Michel Joelsas,Camila Márdila,,,4000000,6200000
The Secret Life of Pets,2016-07-08,https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets,Adventure,Comedy,Chris Renaud,Yarrow Cheney,Louis C.K.,Eric Stonestreet,Kevin Hart,Albert Brooks,Hannibal Buress,75000000,724900000
The Secret World of Arrietty,2012-02-17,https://en.wikipedia.org/wiki/Arrietty,Adventure,,Gary Rydstrom,,Will Arnett,Amy Poehler,Carol Burnett,Bridgit Mendler,David Henrie,23000000,145600000
The Shallows,2016-06-21,https://en.wikipedia.org/wiki/The_Shallows_(film),Horror,,Jaume Collet-Serra,,Blake Lively,Óscar Jaenada,,,,17000000,93200000
The Signal,2014-01-20,https://en.wikipedia.org/wiki/The_Signal_(2014_film),Sci-Fi,,William Eubank,,Brenton Thwaites,Olivia Cooke,Sarah Clarke,Laurence Fishburne,,4000000,2420000
The Single Moms Club,2014-03-14,https://en.wikipedia.org/wiki/The_Single_Moms_Club,Comedy,,Tyler Perry,,Tyler Perry,Nia Long,Wendi McLendon-Covey,Zulay Henao,Cocoa Brown,8000000,16300000
The Smurfs 2,2013-07-31,https://en.wikipedia.org/wiki/The_Smurfs_2,Adventure,Family,Raja Gosnell,,Neil Patrick Harris,Jayma Mays,Hank Azaria,Tim Gunn,Brendan Gleeson,105000000,347500000
The Spectacular Now,2013-08-02,https://en.wikipedia.org/wiki/The_Spectacular_Now,Drama,,James Ponsoldt,,Miles Teller,Shailene Woodley,Kaitlyn Dever,Brie Larson,Dayo Okeniyi,2500000,6900000
The SpongeBob Movie: Sponge Out of Water,2015-02-06,https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water,Adventure,Comedy,Paul Tibbitt,Jonathan Aibel,Paul Tibbitt (director),Jonathan Aibel,Glenn Berger(screenplay),Antonio Banderas,Tom Kenny,74000000,323400000
